variant,key_bits,value_bits,target_load,capacity,inserted,payload_bytes,memory_bytes,actual_load,space_efficiency,memory_mb
flatten-tpht,64,16,0.35,571429,200000,2000000,5932146,0.350000,0.337146,5.66
flatten-tpht,64,16,0.40,500000,200000,2000000,5294190,0.400000,0.377773,5.05
flatten-tpht,64,16,0.45,444445,200000,2000000,4899477,0.449999,0.408207,4.67
flatten-tpht,64,16,0.50,400000,200000,2000000,4652670,0.500000,0.429861,4.44
flatten-tpht,64,16,0.55,363637,200000,2000000,4496745,0.549999,0.444766,4.29
flatten-tpht,64,16,0.60,333334,200000,2000000,4396953,0.599999,0.454860,4.19
flatten-tpht,64,16,0.65,307693,200000,2000000,3671372,0.649999,0.544755,3.50
flatten-tpht,64,16,0.70,285715,200000,2000000,3390404,0.699998,0.589900,3.23
flatten-tpht,64,16,0.75,266667,200000,2000000,3162372,0.749999,0.632437,3.02
flatten-tpht,64,16,0.80,250000,200000,2000000,2977096,0.800000,0.671796,2.84
flatten-tpht,64,16,0.85,235295,200000,2000000,2826432,0.849997,0.707606,2.70
flatten-tpht,64,16,0.90,222223,200000,2000000,2704272,0.899997,0.739571,2.58
flatten-tpht,64,16,0.95,210527,200000,2000000,2603490,0.949997,0.768200,2.48
flatten-tpht,64,16,0.99,202021,200000,2000000,2536302,0.989996,0.788550,2.42
flatten-tpht,64,32,0.05,4000000,200000,2400000,52301909,0.050000,0.045887,49.88
flatten-tpht,64,32,0.10,2000000,200000,2400000,26151723,0.100000,0.091772,24.94
flatten-tpht,64,32,0.15,1333334,200000,2400000,19174093,0.150000,0.125169,18.29
flatten-tpht,64,32,0.20,1000000,200000,2400000,13076630,0.200000,0.183534,12.47
flatten-tpht,64,32,0.25,800000,200000,2400000,10721365,0.250000,0.223852,10.22
flatten-tpht,64,32,0.30,666667,200000,2400000,9587815,0.300000,0.250318,9.14
flatten-tpht,64,32,0.35,571429,200000,2400000,9029055,0.350000,0.265809,8.61
flatten-tpht,64,32,0.40,500000,200000,2400000,6538511,0.400000,0.367056,6.24
flatten-tpht,64,32,0.45,444445,200000,2400000,5842351,0.449999,0.410794,5.57
flatten-tpht,64,32,0.50,400000,200000,2400000,5361451,0.500000,0.447640,5.11
flatten-tpht,64,32,0.55,363637,200000,2400000,5027111,0.549999,0.477411,4.79
flatten-tpht,64,32,0.60,333334,200000,2400000,4794676,0.599999,0.500555,4.57
flatten-tpht,64,32,0.65,307693,200000,2400000,4630941,0.649999,0.518253,4.42
flatten-tpht,64,32,0.70,285715,200000,2400000,4515296,0.699998,0.531527,4.31
flatten-tpht,64,32,0.75,266667,200000,2400000,3944488,0.749999,0.608444,3.76
flatten-tpht,64,32,0.80,250000,200000,2400000,3678640,0.800000,0.652415,3.51
flatten-tpht,64,32,0.85,235295,200000,2400000,3453496,0.849997,0.694948,3.29
flatten-tpht,64,32,0.90,222223,200000,2400000,3263968,0.899997,0.735301,3.11
